"Name","final_test_metrics.pearson_r","Created","Runtime","GitHub","Group","End Time","Hostname","Notes","State","Sweep","Updated","Tags","epochs","lambda_reg","reduced_dim","best_val_loss","final_test_metrics.geodesic_distance","final_test_metrics.long_r","final_test_metrics.mae","final_test_metrics.mid_r","final_test_metrics.mse","final_test_metrics.r2","final_test_metrics.short_r","final_train_metrics.geodesic_distance","final_train_metrics.long_r","final_train_metrics.mae","final_train_metrics.mid_r","final_train_metrics.mse","final_train_metrics.pearson_r","final_train_metrics.r2","final_train_metrics.short_r","fold0_epoch","fold0_train_loss","fold0_val_loss","inner_fold","mean_train_loss","mean_train_pearson","mean_val_loss","mean_val_pearson","test_mse_loss","train_mse_loss"
"shared_transformer_transcriptome_FC_random9_fold3_final_eval","0.5411243235352711","2025-05-09T20:22:52.000Z","2359","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_7itu7xt8","2025-05-09T21:02:11.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T21:02:11.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","50","","","0","14.199189125329111","0.421638794165453","0.12269587814807892","0.47218634389307335","0.02884942851960659","0.21140147802371645","0.5331692278473062","20.83172874307004","0.9195908508318484","0.05162650719285011","0.9202022789630582","0.0050066993571817875","0.9229305963202102","0.8488522422845467","0.9219220597297494","","","","","","","","","0.028853518068790437","0.011750094835613772"
"shared_transformer_transcriptome_FC_random9_fold2_final_eval","0.46391487874449294","2025-05-09T19:38:36.000Z","2651","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_7itu7xt8","2025-05-09T20:22:47.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T20:22:47.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","50","","","0","15.776730912784824","0.491617722129772","0.12438052892684937","0.4196596984689876","0.02933526784181595","0.15951611780383024","0.4509717422771285","21.01711977192333","0.9323595086472038","0.04526481032371521","0.934391920449436","0.004046187736093998","0.9377485148772984","0.8789345756386094","0.934514261320008","","","","","","","","","0.028794917851113357","0.008967760029261201"
"shared_transformer_transcriptome_FC_random9_fold1_final_eval","0.3886249219256738","2025-05-09T18:59:37.000Z","2333","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_7itu7xt8","2025-05-09T19:38:30.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T19:38:30.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","50","","","0","15.918627554478627","0.41700087460728","0.12801380455493927","0.3271100535192502","0.03135063499212265","-0.07073889442986525","0.37414825244731126","19.405526444503757","0.9339565367258468","0.04667460918426514","0.9349556966464232","0.004190737381577492","0.939192099959657","0.8806651650848318","0.938792004812855","","","","","","","","","0.03042811959480437","0.010658630416092631"
"shared_transformer_transcriptome_FC_random9_fold0_final_eval","0.4259324181239952","2025-05-09T18:21:50.000Z","2264","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_7itu7xt8","2025-05-09T18:59:34.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T18:59:34.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_0, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","50","","","0","15.34293903994331","0.3018603821072501","0.13064083456993103","0.3833066524330941","0.03194832801818848","0.07704270572044636","0.4436040455472669","21.27189342996222","0.9248485666721996","0.04855849593877792","0.925400919467764","0.004578336142003536","0.929390420437252","0.8621179420728554","0.9258872758131476","","","","","","","","","0.031104065800228942","0.011226424448897793"
"shared_transformer_transcriptome_FC_random8_fold3_final_eval","0.32673701586608983","2025-05-09T20:26:48.000Z","2509","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_67w3lokr","2025-05-09T21:08:37.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T21:08:37.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","50","","","0","17.362361511635495","0.17088954041921242","0.1341823935508728","0.23835908236625497","0.03494328632950783","-0.13240090499236734","0.34761608453518694","21.077067154927644","0.9395458388528456","0.044364798814058304","0.9408842135590562","0.0038145072758197784","0.9437177882001472","0.8896894261194426","0.94290752427495","","","","","","","","","0.0349762949347496","0.00902340731077027"
"shared_transformer_transcriptome_FC_random8_fold2_final_eval","0.2830955316849505","2025-05-09T19:48:45.000Z","2278","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_67w3lokr","2025-05-09T20:26:43.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T20:26:43.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","50","","","0","15.202016289196912","0.2101242193117396","0.1481722593307495","0.22466117290976795","0.04009225964546203","-0.12320584165452277","0.3141702024225252","21.408186193451172","0.8963429648912731","0.05454779043793678","0.9056235047950676","0.005748470313847065","0.9100524509070804","0.8265546081510018","0.9059202364134094","","","","","","","","","0.03984829461058745","0.01182288024369381"
"shared_transformer_transcriptome_FC_random8_fold1_final_eval","0.3084263417168852","2025-05-09T19:04:47.000Z","2635","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_67w3lokr","2025-05-09T19:48:42.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T19:48:42.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","50","","","0","17.404011013331044","0.29854516469399606","0.1383032202720642","0.2705057501170201","0.03878246247768402","-0.08627789441886846","0.2707921608000176","21.242668777994048","0.919889592611444","0.04703669250011444","0.9281980854618836","0.004372015595436096","0.9319681817337097","0.8674611897673813","0.9319324015088318","","","","","","","","","0.03835560331264368","0.01046079945327952"
"shared_transformer_transcriptome_FC_random8_fold0_final_eval","0.32354872705346605","2025-05-09T18:21:59.000Z","2563","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_67w3lokr","2025-05-09T19:04:42.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T19:04:42.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_0, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","50","","","0","16.551511395951433","0.2791288462227365","0.1358601301908493","0.26630348987551233","0.03483332693576813","-0.08961924241692731","0.352497491939012","23.79830734201339","0.8931661677033924","0.0594208762049675","0.8878251443707402","0.006873888894915581","0.8970817553146762","0.7994619090318387","0.8985028388643295","","","","","","","","","0.034044122824875206","0.012483226184606028"
"shared_transformer_transcriptome_FC_random7_fold3_final_eval","0.30336167212064064","2025-05-09T20:30:39.000Z","2187","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_iy7xt483","2025-05-09T21:07:06.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T21:07:06.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random7, target_FC","50","","","0","15.37016925705809","0.16827910210569683","0.14581242203712463","0.2559553502520373","0.03809094429016113","-0.13675159022290573","0.3097485961987036","20.864092602336097","0.9254467851196512","0.04914755001664162","0.925734957796222","0.00469394912943244","0.9285247027453124","0.8618689323504161","0.923855051984123","","","","","","","","","0.03786493681371212","0.012658995149346689"
"shared_transformer_transcriptome_FC_random7_fold2_final_eval","0.3584780714605701","2025-05-09T19:46:26.000Z","2649","https://github.com/neuroinfolab/GeneEx2Conn/tree/621d17085da9bd78d97da72e309923390a68804f","sweep_iy7xt483","2025-05-09T20:30:35.000Z","gh015.hpc.nyu.edu","-","finished","","2025-05-09T20:30:35.000Z","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer, null_model_spin, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random7, target_FC","50","","","0","15.82742189256853","0.40074072712130326","0.14768218994140625","0.304859722917942","0.04010792821645737","-0.08856717890534105","0.3616384005756568","23.539033869517056","0.903224959082364","0.05360353738069534","0.9036547492197624","0.005578911397606134","0.9108947386679253","0.8281094520118548","0.9105414366664528","","","","","","","","","0.039102802268014505","0.012722695357112896"
