train_index,region_id
1,1
3,3
4,4
5,5
7,7
8,8
9,9
10,10
11,11
14,14
15,15
16,16
19,19
20,20
22,22
23,23
24,24
25,25
26,26
27,27
29,29
30,30
31,31
32,32
34,34
35,35
37,37
38,38
39,39
40,40
41,41
42,42
43,43
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
56,56
57,57
58,58
60,60
61,61
62,62
63,63
64,64
66,66
67,67
68,68
71,71
72,72
73,73
74,74
76,76
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
90,90
92,92
93,93
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
108,108
109,109
111,111
112,112
114,114
115,115
116,116
117,117
118,118
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
133,133
134,134
137,137
138,138
139,139
140,140
141,141
142,142
144,144
145,145
146,146
150,150
151,151
152,152
154,154
156,156
157,157
159,159
160,160
163,163
164,164
165,165
168,168
170,170
171,171
172,172
174,174
175,175
177,177
178,178
