"Name","final_test_metrics.pearson_r","Commit","Created","Runtime","GitHub","Group","Hostname","Notes","GPU Type","Tags","aug_prob","epochs","use_alibi","final_test_metrics.geodesic_distance","final_test_metrics.long_r","final_test_metrics.mae","final_test_metrics.mid_r","final_test_metrics.mse","final_test_metrics.r2","final_test_metrics.short_r","final_train_metrics.geodesic_distance","final_train_metrics.long_r","final_train_metrics.mae","final_train_metrics.mid_r","final_train_metrics.mse","final_train_metrics.pearson_r","final_train_metrics.r2","final_train_metrics.short_r","test_mse_loss","train_mse_loss"
"shared_transformer_cls_transcriptome_FC_random9_fold3_final_eval","0.7913073234599581","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T20:16:34.000Z","472","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_63pxm3fh","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","0","60","true","9.911809990055994","0.7683270834428946","0.08583315461874008","0.7445830088296329","0.014061558060348034","0.6156276591638437","0.7922404261179419","13.799615285014678","0.9843477277492598","0.024278683587908745","0.984199368272092","0.0010643337154760957","0.9856410694183664","0.9678687198619632","0.9862800070636948","0.014037861153483391","0.0023278090903707045"
"shared_transformer_cls_transcriptome_FC_random9_fold2_final_eval","0.7267591381165852","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T20:08:43.000Z","469","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_63pxm3fh","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","0","60","true","11.062931438713283","0.6661535419054125","0.08879972994327545","0.6953781166320796","0.01706373691558838","0.5111073790533198","0.7499744852895104","15.616676467617916","0.9793173530094204","0.028766147792339325","0.9787216005964308","0.001530319219455123","0.980196414427504","0.954211523880653","0.980113068467028","0.016974606587050054","0.0025669926970310936"
"shared_transformer_cls_transcriptome_FC_random9_fold1_final_eval","0.7151141257595637","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T20:00:48.000Z","473","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_63pxm3fh","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","0","60","true","9.976130827639146","0.6825626871730384","0.0882304385304451","0.6651469163103712","0.01555249374359846","0.46882542320397247","0.7420143323264736","14.290967906312304","0.9845558524187225","0.025471266359090805","0.9852798164519476","0.0011450849706307054","0.9862467148907038","0.9673927227594752","0.98634439177892","0.015122119910441913","0.0024378419359366407"
"shared_transformer_cls_transcriptome_FC_random9_fold0_final_eval","0.6845541112609166","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T19:53:06.000Z","461","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_63pxm3fh","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_0, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","0","60","true","11.507507176218846","0.6385157328440789","0.10152290761470796","0.6280085486647362","0.0209858026355505","0.39373978299209966","0.732230795322513","15.759443756643265","0.98112872701377","0.028761262074112892","0.9809628267218672","0.001458634971641004","0.9827573620325842","0.9560714691220336","0.9834243743150224","0.020487184009443108","0.0025362212935027702"
"shared_transformer_cls_transcriptome_FC_random8_fold3_final_eval","0.681438923412441","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T20:15:02.000Z","390","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_36e82t2e","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","0","60","true","12.19084475556638","0.4893166422782374","0.09363899379968645","0.641691187788568","0.01819870062172413","0.4102379769373151","0.7017784402658496","13.930473734212931","0.9807580203941284","0.028280002996325493","0.9802396893579616","0.001435226178728044","0.9816950133195114","0.9584951276207708","0.9821648230171788","0.01833498667925596","0.002546835157677139"
"shared_transformer_cls_transcriptome_FC_random8_fold2_final_eval","0.6306904270065546","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T20:07:12.000Z","469","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_36e82t2e","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","0","60","true","11.636929995112942","0.4478693983407142","0.1083289310336113","0.5631980936619135","0.02349681220948696","0.3417244204008567","0.692389274416988","14.579261632810248","0.9753909226243408","0.02944546565413475","0.9743890410999786","0.0015948080690577626","0.9768559187480576","0.9518807458211932","0.9765338997288548","0.023563309895017977","0.003088488558405756"
"shared_transformer_cls_transcriptome_FC_random8_fold1_final_eval","0.7666364365246805","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T19:59:17.000Z","473","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_36e82t2e","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","0","60","true","10.60978987338722","0.8250384260890207","0.08683479577302933","0.7318575821223819","0.015037541277706625","0.5788058248186623","0.7677946696912198","14.829283539778004","0.9802499552724532","0.02666013315320015","0.9801612470777046","0.0012807638850063086","0.9825252406648958","0.9611733095375112","0.9838338611327272","0.015217775156578192","0.002217372383979777"
"shared_transformer_cls_transcriptome_FC_random8_fold0_final_eval","0.7254679835646023","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T19:50:38.000Z","517","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_36e82t2e","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_0, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","0","60","true","11.15623662990725","0.6341106218982158","0.08838207274675369","0.6948872192060198","0.016090204939246178","0.4966832589765592","0.733866912945619","14.361969409465765","0.9863251092212334","0.023524031043052673","0.9858381640463884","0.0009984461357817054","0.9870834941888468","0.9708714352839124","0.9876191658583932","0.015770270435426097","0.0023413588008781823"
"shared_transformer_cls_transcriptome_FC_random7_fold3_final_eval","0.660900604132279","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T19:44:57.000Z","494","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_h2suivpq","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random7, target_FC","0","60","true","11.90455513279255","0.6340377024563546","0.1029667928814888","0.605248628614415","0.02079164981842041","0.3795128653728813","0.6733985422037306","14.09455539100034","0.979943581593986","0.027826698496937752","0.97872986111304","0.0014376647304743528","0.9807626980339212","0.957693165728784","0.9806392220077328","0.02069727323949337","0.0029680460248256856"
"shared_transformer_cls_transcriptome_FC_random7_fold2_final_eval","0.6599435164784089","ef05974133c4dae05a58065025fadcd9fc6e43f5","2025-05-13T19:36:47.000Z","488","https://github.com/neuroinfolab/GeneEx2Conn/tree/ef05974133c4dae05a58065025fadcd9fc6e43f5","sweep_h2suivpq","ga017.hpc.nyu.edu","-","NVIDIA A100-SXM4-80GB","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_spin, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random7, target_FC","0","60","true","11.615607459147872","0.6548151685525494","0.11047448217868804","0.5909318047508658","0.023556994274258617","0.3606408407952306","0.6871481434658583","16.162284350241798","0.9765990834049112","0.030571894720196724","0.9756204393421468","0.0017185655888170004","0.9771015727870356","0.947049671803044","0.9762756755798108","0.023110785199185975","0.003129468525099334"
