"Name","final_train_metrics.pearson_r","final_test_metrics.pearson_r","Created","Runtime","End Time","Hostname","Notes","State","Tags","aug_prob","batch_size","binarize","d_model","deep_hidden_dims","dropout_rate","encoder_output_dim","epochs","include_coords","input_dim","lambda_reg","learning_rate","nhead","num_layers","token_encoder_dim","transformer_dropout","weight_decay","best_val_loss","final_test_metrics.geodesic_distance","final_test_metrics.long_r","final_test_metrics.mae","final_test_metrics.mid_r","final_test_metrics.mse","final_test_metrics.pearson_corr","final_test_metrics.r2","final_test_metrics.short_r","final_train_metrics.geodesic_distance","final_train_metrics.long_r","final_train_metrics.mae","final_train_metrics.mid_r","final_train_metrics.mse","final_train_metrics.pearson_corr","final_train_metrics.r2","final_train_metrics.short_r","fold0_epoch","fold0_train_loss","fold0_train_pearson","fold0_val_loss","fold0_val_pearson","fold1_epoch","fold1_train_loss","fold1_train_pearson","fold1_val_loss","fold1_val_pearson","fold2_epoch","fold2_train_loss","fold2_train_pearson","fold2_val_loss","fold2_val_pearson","inner_fold","mean_train_loss","mean_train_pearson","mean_val_loss","mean_val_pearson","test_mse_loss","test_pearson","train_mse_loss","train_pearson","use_alibi","best_parameters.use_alibis","parameters.use_alibis"
"shared_transformer_cls_transcriptome_FC_random9_fold3_final_eval","0.987008893250906","0.8572743356626893","2025-05-07T06:39:39.000Z","2710","2025-05-07T07:24:49.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random9, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","9.062117414174136","0.8372996372824864","0.06855540722608566","0.8198481817564885","0.009752200916409492","","0.7334238079105087","0.8624646694543157","14.625408617063902","0.9860598331134832","0.02339736558496952","0.9856430648598103","0.0009950051316991448","","0.9697724281122634","0.9875398957882164","","","","","","","","","","","","","","","","","","","","","0.00972884088754654","","0.0022260164586712784","","false","",""
"shared_transformer_cls_transcriptome_FC_random42_fold1_final_eval","0.9842346187203248","0.8506277709503637","2025-05-07T04:37:24.000Z","3789","2025-05-07T05:40:33.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random42, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","10.081980500621588","0.8221407610802068","0.06935910135507584","0.8225532568162816","0.009722568094730375","","0.7225668703599165","0.8643079817481665","13.540301924747308","0.982445274509359","0.024805529043078423","0.982667507165474","0.0010944220703095198","","0.967118096866454","0.984510005622814","","","","","","","","","","","","","","","","","","","","","0.009451817909183985","","0.002509386700245712","","false","",""
"shared_transformer_cls_transcriptome_FC_random6_fold2_final_eval","0.9866578409935596","0.8440809867100472","2025-05-07T05:22:27.000Z","3829","2025-05-07T06:26:16.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_2, parcellation_S400, sort_genes_refgenome, split_random6, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","11.505143748268376","0.6890053801920348","0.07040172815322876","0.8306803933749749","0.00992325320839882","","0.711704122200497","0.8595609492447365","13.55651110896948","0.98585280884679","0.02337067760527134","0.9850717958072748","0.0010062779765576124","","0.9696136343478292","0.9872542497169714","","","","","","","","","","","","","","","","","","","","","0.00974847236648202","","0.001992000118698022","","false","",""
"shared_transformer_cls_transcriptome_FC_random5_fold3_final_eval","0.9886392223660652","0.8323521724615398","2025-05-07T06:38:42.000Z","2763","2025-05-07T07:24:45.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random5, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","9.532882851835511","0.7285185483014602","0.07102544605731964","0.8080481320063189","0.010182446800172327","","0.6900557739297489","0.8356026752134418","13.710327121335409","0.9860893070675713","0.022678719833493233","0.987578626591353","0.0009235284524038434","","0.9727895412658174","0.9895951495266306","","","","","","","","","","","","","","","","","","","","","0.01014171720482409","","0.002380354795604944","","false","",""
"shared_transformer_cls_transcriptome_FC_random2_fold1_final_eval","0.9896163655764988","0.8307243609884217","2025-05-07T04:36:56.000Z","3727","2025-05-07T05:39:03.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random2, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","10.1381343686655","0.8125507259730742","0.07837805896997452","0.8132601301640756","0.011615682393312454","","0.6881818910367654","0.8203278249135515","13.77330237362967","0.9887117278494316","0.02234523929655552","0.9883177905959056","0.0008796859183348715","","0.9726778059222846","0.9902055237758732","","","","","","","","","","","","","","","","","","","","","0.011423762833986145","","0.002298729814740825","","false","",""
"shared_transformer_cls_transcriptome_FC_random3_fold1_final_eval","0.9899941404477496","0.8299780341000014","2025-05-07T04:26:43.000Z","3727","2025-05-07T05:28:50.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random3, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","9.715285455305509","0.7466764652389005","0.07223276793956757","0.7733895744004329","0.010545721277594566","","0.6817527531327634","0.8694306872414658","12.871325972854716","0.9887751770780412","0.02064056135714054","0.9892902662132323","0.0007672174251638353","","0.9771375815381892","0.9901893013705972","","","","","","","","","","","","","","","","","","","","","0.010528164270978708","","0.0018854316842992532","","false","",""
"shared_transformer_cls_transcriptome_FC_random4_fold1_final_eval","0.9903309502442892","0.8281007446023654","2025-05-07T04:26:38.000Z","3638","2025-05-07T05:27:16.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random4, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","11.876643103366783","0.7823203354437892","0.0804297998547554","0.810013853534983","0.012180700898170471","","0.6836075474769079","0.8480249607411678","13.88884074194049","0.9875185021342404","0.02088711224496365","0.9890749074581426","0.0007660199189558625","","0.9759050580760984","0.9911214233282236","","","","","","","","","","","","","","","","","","","","","0.011999681842728304","","0.001972947051207071","","false","",""
"shared_transformer_cls_transcriptome_FC_random8_fold0_final_eval","0.9880991807145156","0.8272588083221618","2025-05-07T03:25:33.000Z","3457","2025-05-07T04:23:10.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_0, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","10.042218113630794","0.7522936593993392","0.07269006222486496","0.8047401674041312","0.010295077227056026","","0.6788428857656441","0.8408607776063269","14.383174669123058","0.9864690330228972","0.021878188475966457","0.9866638308468956","0.0008693940471857786","","0.9743843831048696","0.9886940706720116","","","","","","","","","","","","","","","","","","","","","0.010076546289313298","","0.0021575464152152513","","false","",""
"shared_transformer_cls_transcriptome_FC_random8_fold3_final_eval","0.9860145507268802","0.824605831303816","2025-05-07T06:28:13.000Z","3207","2025-05-07T07:21:40.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_3, parcellation_S400, sort_genes_refgenome, split_random8, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","8.842947629497159","0.742782034028986","0.07087878882884979","0.7799276192626371","0.009886124171316624","","0.6713068671352526","0.8566071308780356","13.225346371083312","0.9844971098718912","0.02463686466217041","0.9848738344171653","0.0011202251771464944","","0.9675963099738878","0.9862739941211268","","","","","","","","","","","","","","","","","","","","","0.009890609420835972","","0.002015305721821884","","false","",""
"shared_transformer_cls_transcriptome_FC_random5_fold1_final_eval","0.9903552444202622","0.817520268684238","2025-05-07T04:34:48.000Z","3693","2025-05-07T05:36:21.000Z","gh015.hpc.nyu.edu","-","finished","binarize_False, cv_type_random, feature_type_transcriptome, final_eval, gene_list_0.2, hemisphere_both, impute_strategy_mirror_interpolate, model_shared_transformer_cls, null_model_none, omit_subcortical_False, outerfold_1, parcellation_S400, sort_genes_refgenome, split_random5, target_FC","0.2","512","false","128","[256,128]","0.2","10","50","","14760","","0.00009","2","2","20","0.2","0.0001","0","11.578636107916962","0.749228747816792","0.07730341702699661","0.7832214928982264","0.012064781971275806","","0.6670140073073045","0.8369899779430705","12.941898377926616","0.98732870686014","0.020770717412233353","0.9895265501681452","0.0007616301882080734","","0.9767603606348612","0.9910509377536753","","","","","","","","","","","","","","","","","","","","","0.0121002179176475","","0.002021318941586343","","false","",""
